"1","Tom 在一次偶然的机会中，看到了关于其他国家频繁发生砍刀袭击的新闻。他思考了一会儿，然后对自己说：“我很高兴我住在一个不需要真正担心砍刀袭击的国家。”
问题:在此情况下，Tom为什么会感觉庆幸?","他意识到自己国家的安全状况很好","他刚从一次砍刀袭击事件中逃生","他对其他国家的安全问题感到愤怒","他对自己国家无法提供安全保障感到失望","A","Sources of Emotion","Intrinsic Emotions"
"753","小王最近在追一部热门电视剧，每当谈论起剧情和角色时，他总是显得异常兴奋。今天，他加班到很晚，回到家后已经很疲惫，但他还是打开了电视，继续观看最新一集。
问题:在此情况下，小王为什么会感觉满足?","尽管很疲惫，但他坚持看完了最新一集","电视剧的剧情令他感到非常失望","他不喜欢加班，所以感到很焦虑","他喜欢这部电视剧，观看后感到心情愉悦","D","Sources of Emotion","Intrinsic Emotions"
"486","在一次公司股东大会上，CEO提出了一个让人惊讶的方案：提高员工工资并降低客户收费。会场顿时安静下来，有股东质疑这样做的可行性，认为这会影响公司的盈利。
问题:在此情况下，CEO为什么会感觉自信?","他相信这个决策会提高员工的工作效率和客户满意度，从而提升公司长远利益","他不确定这个决策是否会被股东接受，感到担忧","他对股东的质疑感到愤怒","他对于自己的提案产生的影响感到困惑","A","Sources of Emotion","Extrinsic Emotions"
"368","在一次朋友聚会上，李铭拿出了一瓶他珍藏多年的赤霞珠葡萄酒。他给大家倒上酒后，有人评论说这酒口味太重了，但李铭却有自己的看法。
问题:在此情况下，李铭为什么会感觉满意?","他认为赤霞珠葡萄酒的浓烈口味是其魅力所在","他不喜欢这款酒，觉得口味太重了","他听别人的评论后开始怀疑自己的品味","他觉得这个品牌的酒质量大不如前","A","Sources of Emotion","Intrinsic Emotions"
"212","在一个慈善晚会上，杰克听说CBP机构在这里做了很多了不起的工作。他看到很多在场的人都在踊跃捐款，甚至有的直接拿出大额现金。杰克考虑了一会儿，也决定捐出自己一个月的工资。
问题:在此情况下，杰克为什么会感觉满意?","他认为自己的捐款能够帮助到需要的人","他后悔捐出了自己一个月的工资","他对慈善晚会上的活动感到无趣","他本想去参观CBP机构的工作，但捐款后改变了主意","A","Sources of Emotion","Extrinsic Emotions"
"393","小明是一位年轻的程序员，最近他参加了一场技术分享会。在会上，小明发现自己的发言并没有引起重视，反倒是几位资历较浅的同事获得了认可。回想起自己之前总是过高地评价自己的能力，小明感到有些不安。
问题:在此情况下，小明为什么会感觉羞愧?","小明发现同事们实际上对他的工作能力评价很高","小明意识到自己可能并没有自己想象的那么出色","小明在分享会上意外地得到了领导的特别表扬","小明发现他的发言实际上非常有价值，只是未被及时发现","B","Sources of Emotion","Intrinsic Emotions"
"709","小明一直想去游乐园尝试不同的游乐设施。今天，他终于有机会去了。他首先尝试了免费的非洲区观光车，觉得非常有趣。接着，他考虑是否要付费尝试亚洲区的观光车，最后他决定尝试热气球，虽然价格不菲，但他认为物有所值。
问题:在此情况下，小明为什么会感觉兴奋 & 满足?","他尝试了新的游乐设施，并觉得非常有趣","他本应该选择更便宜的亚洲区观光车","他发现热气球的价格比他预期的要高","他因为害怕高度而犹豫是否尝试热气球","A","Sources of Emotion","Extrinsic Emotions"
"325","小杨是一位漫画爱好者，他最喜欢的漫画近日发布了新的单行本。然而，他早已通过网络渠道看完了所有内容。今天，他路过一家书店，看到了新出版的单行本摆在了书架上。
问题:在此情况下，小杨为什么会感觉满足?","他已经看完了新内容，所以对实体书没有购买欲望","他看到别人对漫画的喜爱，感到愧疚","他无法体验到等待新书发布的激动心情","他为自己能够提前看到漫画而感到满足","A","Sources of Emotion","Intrinsic Emotions"
"444","在公司的会议上，李明突然对同事小张说：“你为什么要这么做？发生了什么事？”小张沉默了一会儿，然后开始解释他的项目想法。
问题:在此情况下，李明为什么会感觉好奇?","李明对小张的项目想法感到好奇","李明认为小张的行为是错误的","李明担心会议的进程","李明想要了解小张的想法","D","Sources of Emotion","Intrinsic Emotions"
"438","每天下班后，小王总是坐在书桌前，手里拿着鼠标却不是在工作。他打开电脑，本想查阅一些专业资料，但又不由自主地开始浏览起娱乐新闻。
问题:在此情况下，小王为什么会感觉焦虑?","他在享受一段轻松的时光","他意识到自己在浪费时间，而工作上的任务还在堆积","他对自己的工作效率感到满意","他很喜欢阅读娱乐新闻","B","Sources of Emotion","Intrinsic Emotions"
"678","小杨在办公室里埋头处理一堆积压的工作，他的同事们都已经下班回家。他看了看表，已经是晚上九点了，而他的任务还没有完成。突然，他的电脑出现了故障，所有未保存的工作瞬间消失了。
问题:在此情况下，小杨为什么会感觉焦虑?","他还有很多工作没有完成，而且电脑出现了故障","他不喜欢在晚上工作","他在工作中找到了一个解决问题的有趣方法","他的同事已经答应帮忙完成工作","A","Sources of Emotion","Intrinsic Emotions"
"210","艾米丽参观了一个新建的美术馆，她发现馆内许多作品都采用了大量的绿色调。她一边欣赏，一边忍不住在朋友圈发了一条‘为什么这么多绿色呢，哈哈’。
问题:在此情况下，艾米丽为什么会感觉好奇?","她对于艺术作品中使用绿色的原因感到好奇","她觉得绿色用得过多，感到美术馆的品味很奇怪","她原本期待看到更多色彩多样的作品","她其实不喜欢绿色，觉得看多了不舒服","A","Sources of Emotion","Intrinsic Emotions"
"124","在一次公司的晋升选拔中，小王发现自己的好友小李被领导推荐了。小王心里想：“他力挺他的朋友，那我们这些其他人呢？”，但是随后在一次私下交谈中，领导告诉小王，他也认为小王很出色，但是这次晋升是为了奖励小李长时间的努力。
问题:在此情况下，小王为什么会感觉安心?","小王知道领导同样认可他的努力","小王因为没有得到晋升而感到不满","小王认为领导偏袒小李","小王对小李的晋升感到意外","A","Sources of Emotion","Extrinsic Emotions"
"429","在一次激烈的辩论中，李明面对对方的质疑和误解，他平静地回应说：“我并不打算和一个不懂什么是稻草人谬误的人争论。”说完后，他微笑着坐下，等待着接下来的讨论。
问题:在此情况下，李明为什么会感觉冷静?","他认为对方无法理解他的观点，所以没有必要生气","他知道自己辩论的立场是正确的，不需要紧张","他因为对方的误解而感到失望","他轻蔑对方的辩论水平","A","Sources of Emotion","Intrinsic Emotions"
