"1","在一个志愿者活动中，杰克的队伍完成了艰难的植树任务。满身尘土地回到营地时，队伍里的新人丹尼尔对杰克说了一声“谢谢你，伙计🌱”，然后转身继续默默地整理工具。
问题:
在此情况下，杰克有什么感觉?","疑惑","感激","疲惫","欣慰","尴尬","不安","D","Modes of Emotional Expression","Indirect Expression"
"595","在一次铁人三项比赛中，李明不慎将他的佳明运动手表留在了自行车上。进入转换区时，他意识到自己必须依靠感觉来完成接下来的赛程。然而，当他跑步出发时，人群的欢呼声让他感到异常兴奋，他的肾上腺素急剧上升。
问题:
在此情况下，李明有什么感觉?","焦虑","兴奋","挫败","淡定","慌张","期待","B","Modes of Emotional Expression","Nonverbal Expression"
"584","在一个技术论坛上，一个用户提出了一个功能请求，希望iOS系统可以增加一个他非常喜欢的应用功能。另一个用户回复表示这个功能在iOS上目前还没有，但是感谢他的建议。
问题:
在此情况下，回复的用户有什么感觉?","感激","悲伤","无奈","期待","满意","困惑","C","Modes of Emotional Expression","Indirect Expression"
"716","在健身房里，马克挑战了一个比他以往举重更重的杠铃。当他成功举起后，他轻轻笑了一下，并对旁边的朋友说：“幸亏我挺过来了，否则这可真成了‘死’举了。”
问题:
在此情况下，马克有什么感觉?","庆幸","恐惧","紧张","羞愧","愤怒","困惑","A","Modes of Emotional Expression","Indirect Expression"
"598","在一次激烈的辩论后，李明对自己的论点产生了怀疑。他默默地坐在角落里，沉思了许久。突然，他站起身，舒展了一下双臂，深深地吸了一口气，说出了‘我感到一种奇妙的解放感’。
问题:
在此情况下，李明有什么感觉?","困惑","挫败","自由","焦虑","矛盾","启示","C","Modes of Emotional Expression","Direct Expression"
"200","在一次策划会议上，李明提出一个观点，认为有一系列好的备选方案将会是团队可以打造的亮点。然而，他的同事王姐似乎并不同意，她开始列举之前尝试多种方案失败的例子，最后说了一句‘但愿这次能有所不同’。
问题:
在此情况下，李明有什么感觉?","自信","挫败","担忧","乐观","厌烦","期待","C","Modes of Emotional Expression","Indirect Expression"
"182","艾丽是一名优秀的研究员，她在一个国际学术研讨会上发表了自己的研究报告。在演讲结束后，她私下对朋友说，她觉得自己在她的研究领域里享有特权。
问题:
在此情况下，艾丽有什么感觉?","自豪","谦逊","傲慢","焦虑","满足","羞愧","A","Modes of Emotional Expression","Direct Expression"
"401","篮球比赛中，一支以粉丝温和著称的球队在关键时刻失去了领先。尽管如此，比赛结束后，粉丝们依然为球员们送上了热烈的掌声，甚至为对手的优秀表现喝彩。第二天，球队的官方商店里，这款特制的球迷T恤销量激增。
问题:
在此情况下，球队粉丝有什么感觉?","失望","自豪","尊重","悲伤","愤怒","满足","B","Modes of Emotional Expression","Indirect Expression"
"300","在一场关于性别身份的讨论会上，李明分享了他对时尚偏好的看法，认为这仅仅是个人的喜好，不应该和性别认同混为一谈。他提到，如果一个人对自己的性别没有不满，那么他们很可能只是有时尚偏好，而不代表有另一种性别的认同。当他说完这番话后，旁边的张伟轻轻点头，但并未发表任何评论。
问题:
在此情况下，张伟有什么感觉?","同意","困惑","不满","理解","愤怒","冷漠","D","Modes of Emotional Expression","Indirect Expression"
"220","在一次激烈的在线辩论中，亚当对他的对手说：“你有没有除了轶事之外的东西要说？还有，举证责任是个东西，你提出了一个说法，证明它，否则就别浪费时间。” 对方沉默了一会儿，然后亚当收到了一条私人消息。
问题:
在此情况下，亚当有什么感觉?","挑衅","自信","愤怒","挫败","轻蔑","期待","B","Modes of Emotional Expression","Direct Expression"
"775","在一个动漫爱好者的论坛上，艾米丽发表了对两位角色之间关系的看法。她说自己并没有刻意去寻找这种关系的线索，但能理解为什么有些人会站这对CP。然而，她觉得这种情感可能只是单方面的，因为其中一个角色看起来只是个没有考虑后果、追随自己一时兴起的有钱学生。
问题:
在此情况下，艾米丽有什么感觉?","理解","失望","羡慕","悲伤","同情","困惑","B","Modes of Emotional Expression","Indirect Expression"
"395","在城市的会议中，李明对新建体育场的提案感到不满。他站起来说：“这简直是在浪费时间。就像让波特兰的市民用他们的税金去建一座体育场一样。”他的话语中充满了不满。随后，市长宣布其实已经有私企承诺资助体育场建设，李明听后露出了一丝微笑。
问题:
在此情况下，李明有什么感觉?","不满","愤怒","惊讶","尴尬","理解","满意","E","Modes of Emotional Expression","Direct Expression"
"311","小杨在朋友圈里总是表现得非常乐观，但私底下他却觉得自己的内心像被割伤一样痛苦。一天晚上，他独自坐在房间里，看着窗外的夜景，突然说出了‘我觉得自己就像一个情感上的自残者’。
问题:
在此情况下，小杨有什么感觉?","绝望","悲伤","孤独","痛苦","焦虑","平静","D","Modes of Emotional Expression","Direct Expression"
